DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,1996,7071850,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,1997,7088906,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,1998,7110001,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,1999,7143991,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2000,7184250,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2001,7229854,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2002,7284753,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2003,7339001,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2004,7389625,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2005,7437115,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2006,7483934,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2007,7551117,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2008,7647675,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2009,7743831,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2010,7824909,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2011,7912398,b
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2012,7996861,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2013,8089346,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2014,8188649,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2015,8282396,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2016,8373338,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2017,8451840,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2018,8514329,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2019,8575280,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2020,8638167,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2021,8704546,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CH,2022,8775760,p
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,1994,639172,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,1995,650866,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,1996,661323,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,1997,670764,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,1998,679039,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,1999,686680,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2000,694023,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2001,701544,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2002,709630,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2003,718307,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2004,727980,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2005,738540,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2006,750965,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2007,767125,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2008,786632,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2009,808035,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2010,829446,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2011,850881,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2012,863945,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2013,861939,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2014,852504,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2015,847664,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2016,851561,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2017,859519,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2018,870068,
