DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,CZ,1995,1810.6,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,CZ,1996,1710.7,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,CZ,1997,1695.6,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,CZ,1998,1638.0,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,CZ,1999,1622.2,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,CZ,2000,1602.3,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,CZ,2001,1583.3,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,CZ,2002,1585.8,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,CZ,2003,1630.6,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,CZ,2004,1540.9,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,CZ,2005,1518.9,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,CZ,2006,1425.9,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,CZ,2007,1381.1,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,CZ,2008,1343.3,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,CZ,2009,1346.0,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,CZ,2010,1307.4,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DE,1994,1382.3,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DE,1995,1359.5,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DE,1996,1340.8,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DE,1997,1295.2,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DE,1998,1272.8,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DE,1999,1245.7,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DE,2000,1212.7,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DE,2001,1184.0,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DE,2002,1198.0,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DE,2003,1213.6,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DE,2004,1144.6,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DE,2005,1133.4,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DE,2006,1087.4,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DE,2007,1065.8,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DE,2008,1064.2,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DE,2009,1052.7,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DE,2010,1033.1,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DK,1994,1489.7,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DK,1995,1533.0,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DK,1996,1472.1,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DK,1997,1435.9,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DK,1998,1383.2,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DK,1999,1388.9,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DK,2000,1343.7,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DK,2001,1344.2,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DK,2002,1356.1,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DK,2003,1325.2,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DK,2004,1273.8,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DK,2005,1240.8,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DK,2006,1234.8,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DK,2007,1220.6,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DK,2008,1185.0,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,DK,2009,1176.4,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EE,1994,2192.3,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EE,1995,2078.6,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EE,1996,1922.5,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EE,1997,1864.8,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EE,1998,1951.8,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EE,1999,1844.8,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EE,2000,1819.0,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EE,2001,1814.9,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EE,2002,1790.4,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EE,2003,1766.1,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EE,2004,1700.8,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EE,2005,1661.6,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EE,2006,1623.9,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EE,2007,1584.8,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EE,2008,1493.4,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EE,2009,1415.1,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EE,2010,1361.0,
